AOC-AOP,Region
Alsace grand cru,Alsace
Alsace,Alsace
Crémant d’Alsace,Alsace
Floc de Gascogne,Sud-Ouest
Beaujolais,Beaujolais
Beaujolais Villages,Beaujolais
Brouilly,Beaujolais
Chénas,Beaujolais
Chiroubles,Beaujolais
Côte de Brouilly,Beaujolais
Fleurie,Beaujolais
Juliénas,Beaujolais
Morgon,Beaujolais
Moulin-à-Vent,Beaujolais
Régnié,Beaujolais
Saint-Amour,Beaujolais
Côtes de Bordeaux,Bordeaux
Barsac,Bordeaux
Blaye,Bordeaux
Bordeaux,Bordeaux
Bordeaux supérieur,Bordeaux
Cadillac,Bordeaux
Canon Fronsac,Bordeaux
Cérons,Bordeaux
Côtes de Blaye,Bordeaux
Côtes de Bordeaux-Saint-Macaire,Bordeaux
"Côtes de Bourg, Bourg et Bourgeais",Bordeaux
Crémant de Bordeaux,Bordeaux
Entre-deux-Mers,Bordeaux
Fronsac,Bordeaux
Graves,Bordeaux
Graves de Vayres,Bordeaux
Graves supérieures,Bordeaux
Haut-Médoc,Bordeaux
Lalande-de-Pomerol,Bordeaux
Listrac-Médoc,Bordeaux
Loupiac,Bordeaux
Lussac-Saint-Emilion,Bordeaux
Margaux,Bordeaux
Médoc,Bordeaux
Montagne-Saint-Emilion,Bordeaux
Moulis,Bordeaux
Neac,Bordeaux
Pauillac,Bordeaux
Pessac-Léognan,Bordeaux
Pomerol,Bordeaux
Premières Côtes de Bordeaux,Bordeaux
Puisseguin-Saint-Emilion,Bordeaux
Saint-Emilion,Bordeaux
Saint-Emilion grand cru,Bordeaux
Saint-Estèphe,Bordeaux
Saint-Georges-Saint-Emilion,Bordeaux
Saint-Julien,Bordeaux
Sainte-Croix-du-Mont,Bordeaux
Sainte-Foy-Bordeaux,Bordeaux
Sauternes,Bordeaux
Aloxe-Corton,Bourgogne
Auxey-Duresses,Bourgogne
Bâtard-Montrachet,Bourgogne
Beaune,Bourgogne
Bienvenues-Bâtard-Montrachet,Bourgogne
Blagny,Bourgogne
Bonnes-Mares,Bourgogne
Bourgogne,Bourgogne
Bourgogne aligoté,Bourgogne
Bourgogne mousseux,Bourgogne
Bourgogne Passe-tout-grains,Bourgogne
Bouzeron,Bourgogne
Chablis,Bourgogne
Chablis Grand Cru,Bourgogne
Chambertin,Bourgogne
Chambertin-Clos de Bèze,Bourgogne
Chambolle-Musigny,Bourgogne
Chapelle-Chambertin,Bourgogne
Charlemagne,Bourgogne
Charmes-Chambertin,Bourgogne
Chassagne-Montrachet,Bourgogne
Chevalier-Montrachet,Bourgogne
Chorey-lès-Beaune,Bourgogne
Clos de la Roche,Bourgogne
Clos de Tart,Bourgogne
Clos de Vougeot,Bourgogne
Clos des Lambrays,Bourgogne
Clos Saint-Denis,Bourgogne
Corton,Bourgogne
Corton-Charlemagne,Bourgogne
Côte de Beaune,Bourgogne
Côte de Beaune-Villages,Bourgogne
Côte de Nuits-Villages,Bourgogne
Coteaux Bourguignons,Bourgogne
Crémant de Bourgogne,Bourgogne
Criots-Bâtard-Montrachet,Bourgogne
Echezeaux,Bourgogne
Fixin,Bourgogne
Gevrey-Chambertin,Bourgogne
Givry,Bourgogne
Grands-Echezeaux,Bourgogne
Griotte-Chambertin,Bourgogne
Irancy,Bourgogne
La Grande Rue,Bourgogne
La Romanée,Bourgogne
La Tâche,Bourgogne
Ladoix,Bourgogne
Latricières-Chambertin,Bourgogne
Mâcon,Bourgogne
Maranges,Bourgogne
Marsannay,Bourgogne
Mazis-Chambertin,Bourgogne
Mazoyères-Chambertin,Bourgogne
Mercurey,Bourgogne
Meursault,Bourgogne
Montagny,Bourgogne
Monthélie,Bourgogne
Montrachet,Bourgogne
Morey-Saint-Denis,Bourgogne
Musigny,Bourgogne
Nuits-Saint-Georges,Bourgogne
Pernand-Vergelesses,Bourgogne
Petit Chablis,Bourgogne
Pommard,Bourgogne
Pouilly-Fuissé,Bourgogne
Pouilly-Loché,Bourgogne
Pouilly-Vinzelles,Bourgogne
Puligny-Montrachet,Bourgogne
Richebourg,Bourgogne
Romanée-Conti,Bourgogne
Romanée-Saint-Vivant,Bourgogne
Ruchottes-Chambertin,Bourgogne
Rully,Bourgogne
Saint-Aubin,Bourgogne
Saint-Bris,Bourgogne
Saint-Romain,Bourgogne
Saint-Véran,Bourgogne
Santenay,Bourgogne
Savigny-lès-Beaune,Bourgogne
Viré-Clessé,Bourgogne
Volnay,Bourgogne
Vosne-Romanée,Bourgogne
Vougeot,Bourgogne
Champagne,Champagne
Coteaux champenois,Champagne
Rosé des Riceys,Champagne
Pineau des Charentes,Cognac
Arbois,Jura
Château-Chalon,Jura
Côtes du Jura,Jura
Crémant du Jura,Jura
L'Etoile,Jura
Macvin du Jura,Jura
Corbières-Boutenac,Languedoc-Roussillon
Banyuls,Languedoc-Roussillon
Banyuls grand cru,Languedoc-Roussillon
Cabardès,Languedoc-Roussillon
Clairette de Bellegarde,Languedoc-Roussillon
Clairette du Languedoc,Languedoc-Roussillon
Collioure,Languedoc-Roussillon
Corbières,Languedoc-Roussillon
Costières de Nîmes,Languedoc-Roussillon
Côtes du Roussillon,Languedoc-Roussillon
Côtes du Roussillon Villages,Languedoc-Roussillon
Crémant de Limoux,Languedoc-Roussillon
Faugères,Languedoc-Roussillon
Fitou,Languedoc-Roussillon
Grand Roussillon,Languedoc-Roussillon
Languedoc,Languedoc-Roussillon
Limoux,Languedoc-Roussillon
Malepère,Languedoc-Roussillon
Maury,Languedoc-Roussillon
Minervois,Languedoc-Roussillon
Minervois-La Livinière,Languedoc-Roussillon
Muscat de Frontignan,Languedoc-Roussillon
Muscat de Lunel,Languedoc-Roussillon
Muscat de Mireval,Languedoc-Roussillon
Muscat de Rivesaltes,Languedoc-Roussillon
Muscat de Saint-Jean-de-Minervois,Languedoc-Roussillon
Rivesaltes,Languedoc-Roussillon
Saint-Chinian,Languedoc-Roussillon
Anjou,Loire
Anjou Villages,Loire
Anjou Villages Brissac,Loire
Anjou-Coteaux de la Loire,Loire
Bonnezeaux,Loire
Bourgueil,Loire
Cabernet d'Anjou,Loire
Cabernet de Saumur,Loire
Châteaumeillant,Loire
Cheverny,Loire
Chinon,Loire
Côte roannaise,Loire
Coteaux d'Ancenis,Loire
Coteaux de l'Aubance,Loire
Coteaux de Saumur,Loire
Coteaux du Giennois,Loire
Coteaux du Layon,Loire
Coteaux du Loir,Loire
Coteaux du Vendômois,Loire
Côtes d'Auvergne,Loire
Côtes du Forez,Loire
Cour-Cheverny,Loire
Crémant de Loire,Loire
Fiefs Vendéens,Loire
Gros Plant du Pays Nantais,Loire
Haut-Poitou,Loire
Jasnières,Loire
Menetou-Salon,Loire
Montlouis-sur-Loire,Loire
Muscadet,Loire
Muscadet Coteaux de la Loire,Loire
Muscadet Côtes de Grandlieu,Loire
Muscadet Sèvre et Maine,Loire
Orléans,Loire
Orléans-Cléry,Loire
Pouilly-Fumé,Loire
Pouilly-sur-Loire,Loire
Quarts de Chaume,Loire
Quincy,Loire
Reuilly,Loire
Rosé d'Anjou,Loire
Rosé de Loire,Loire
Saint-Nicolas-de-Bourgueil,Loire
Saint-Pourçain,Loire
Sancerre,Loire
Saumur,Loire
Saumur-Champigny,Loire
Savennières,Loire
Touraine,Loire
Touraine Noble Joué,Loire
Valençay,Loire
Vouvray,Loire
Côtes de Toul,Lorraine
Moselle,Lorraine
Ajaccio,Corse
Bandol,Provence
Bellet,Provence
Cassis,Provence
Coteaux d'Aix-en-Provence,Provence
Coteaux varois en Provence,Provence
Côtes de Provence,Provence
Les Baux de Provence,Provence
Muscat du Cap Corse,Corse
Palette,Provence
Patrimonio,Corse
Pierrevert,Provence
Vin de Corse,Corse
Beaumes de Venise,Rhône
Grignan-les-Adhémar,Rhône
Vinsobres,Rhône
Château-Grillet,Rhône
Châteauneuf-du-Pape,Rhône
Châtillon-en-Diois,Rhône
Clairette de Die,Rhône
Condrieu,Rhône
Cornas,Rhône
Côte Rôtie,Rhône
Coteaux de Die,Rhône
Coteaux du Lyonnais,Rhône
Côtes du Rhône,Rhône
Côtes du Rhône Villages,Rhône
Côtes du Vivarais,Rhône
Crémant de Die,Rhône
Crozes-Hermitage,Rhône
Gigondas,Rhône
Hermitage,Rhône
Lirac,Rhône
Luberon,Rhône
Muscat de Beaumes-de-Venise,Rhône
Rasteau,Rhône
Saint-Joseph,Rhône
Saint-Péray,Rhône
Tavel,Rhône
Vacqueyras,Rhône
Ventoux,Rhône
Bugey,Savoie-Bugey
Roussette de Savoie,Savoie-Bugey
Roussette du Bugey,Savoie-Bugey
Seyssel,Savoie-Bugey
Vin de Savoie,Savoie-Bugey
Coteaux du Quercy,Sud-Ouest
Béarn,Sud-Ouest
Bergerac,Sud-Ouest
Brulhois,Sud-Ouest
Buzet,Sud-Ouest
Cahors,Sud-Ouest
Côtes de Bergerac,Sud-Ouest
Côtes de Duras,Sud-Ouest
Côtes de Millau,Sud-Ouest
Côtes de Montravel,Sud-Ouest
Côtes du Marmandais,Sud-Ouest
Entraygues - Le Fel,Sud-Ouest
Estaing,Sud-Ouest
Fronton,Sud-Ouest
Gaillac,Sud-Ouest
Gaillac premières côtes,Sud-Ouest
Haut-Montravel,Sud-Ouest
Irouléguy,Sud-Ouest
Jurançon,Sud-Ouest
Madiran,Sud-Ouest
Marcillac,Sud-Ouest
Monbazillac,Sud-Ouest
Montravel,Sud-Ouest
Pacherenc du Vic-Bilh,Sud-Ouest
Pécharmant,Sud-Ouest
Rosette,Sud-Ouest
Saint-Mont,Sud-Ouest
Saint-Sardos,Sud-Ouest
Saussignac,Sud-Ouest
Tursan,Sud-Ouest